id,scenario,obstacle_timing,command_text,operator_note
DYN01,late_obstacle_forward,during_2_4s,"move forward slowly for 8 seconds","Start moving; place obstacle ~15–20 cm in front at 2–4 s. Same timing for both modes."
DYN02,late_obstacle_fast,during_1_3s,"move forward fast for 6 seconds","Same as DYN01 but faster; obstacle mid-run."
DYN03,until_obstacle_then_turn,static_then_late,"move forward until you see an obstacle, then turn left for 1 second","First static obstacle; after stop, clear path OR add late obstacle on second forward if LLM splits oddly — use exact text once."
DYN04,repeat_block_3x,optional_static,"move forward for 1 second then turn right for 1 second, repeat 3 times","Whole-block repeat; same text both modes. Watch full 3 cycles."
DYN05,scan_then_forward,mid_scan_obstacle,"scan around then move forward for 5 seconds","During scan or right after, introduce obstacle in path for forward segment."
DYN06,long_forward_no_duration,static_15cm,"go forward slowly","No duration: tests default forward + obstacle. Obstacle ~15 cm before start."
DYN07,multi_step_obstacle,late_on_second_segment,"turn left for 1 second then move forward for 5 seconds","Obstacle appears during second segment (forward)."
DYN08,repeat_turn_forward_2x,static,"turn left for 1 second then move forward for 2 seconds, repeat 2 times","Static layout; compare consistency llm vs direct (hardware noise)."
DYN09,forward_then_stop,none,"move forward for 4 seconds then stop","Baseline control; no obstacle. Sanity check."
DYN10,forward_until_obstacle_only,static_15cm,"move forward until you see an obstacle","Pure obstacle stop; clearest safety contrast."
